reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,dead_end_test
EX_15dap_e,15dap_e <=> ,ok,ok,ok,ok,ok,ok
EX_25dkglcn_e,25dkglcn_e <=> ,ok,ok,ok,ok,ok,ok
EX_2ameph_e,2ameph_e <=> ,ok,ok,ok,ok,ok,ok
EX_2m35mdntha_e,2m35mdntha_e <=> ,ok,ok,ok,ok,ok,ok
EX_2pglyc_e,2pglyc_e <=> ,ok,ok,ok,ok,ok,ok
EX_34dhbz_e,34dhbz_e <=> ,ok,ok,ok,ok,ok,ok
EX_35dnta_e,35dnta_e <=> ,ok,ok,ok,ok,ok,ok
EX_3h4atb_e,3h4atb_e <=> ,ok,ok,ok,ok,ok,ok
EX_3hoxpac_e,3hoxpac_e <=> ,ok,ok,ok,ok,ok,ok
EX_3mb_e,3mb_e <=> ,ok,ok,ok,ok,ok,ok
EX_3oxoadp_e,3oxoadp_e <=> ,ok,ok,ok,ok,ok,ok
EX_4abut_e,4abut_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hba_e,4hba_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hbald_e,4hbald_e <=> ,ok,ok,ok,ok,ok,4hbald_e
EX_4hbz_e,4hbz_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hoxpac_e,4hoxpac_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hphac_e,4hphac_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hpro_LT_e,4hpro_LT_e <=> ,ok,ok,ok,ok,ok,ok
EX_4oxptn_e,4oxptn_e <=> ,ok,ok,ok,ok,ok,ok
EX_5aptn_e,5aptn_e <=> ,ok,ok,ok,ok,ok,ok
EX_5drib_e,5drib_e <=> ,ok,ok,ok,ok,ok,ok
EX_6atha_e,6atha_e <=> ,ok,ok,ok,ok,ok,ok
EX_6hnac_e,6hnac_e <=> ,ok,ok,ok,ok,ok,ok
EX_LalaLglu_e,LalaLglu_e <=> ,ok,ok,ok,ok,ok,ok
EX_Lcyst_e,Lcyst_e <=> ,ok,ok,ok,ok,ok,ok
EX_Ncbmpts_e,Ncbmpts_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hcmrs7e_e,R_3hcmrs7e_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hdd5ea_e,R_3hdd5ea_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hdd6e_e,R_3hdd6e_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hdda_e,R_3hdda_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hhdca_e,R_3hhdca_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hnonaa_e,R_3hnonaa_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hpt_e,R_3hpt_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3htd58e_e,R_3htd58e_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3htd5e_e,R_3htd5e_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3httdca_e,R_3httdca_e <=> ,ok,ok,ok,ok,ok,ok
EX_abg4_e,abg4_e <=> ,ok,ok,ok,ok,ok,ok
EX_abt__D_e,abt__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_ac_e,ac_e <=> ,ok,ok,ok,ok,ok,ok
EX_acac_e,acac_e <=> ,ok,ok,ok,ok,ok,ok
EX_acald_e,acald_e <=> ,ok,ok,ok,ok,ok,ok
EX_acgam_e,acgam_e <=> ,ok,ok,ok,ok,ok,ok
EX_acglu_e,acglu_e <=> ,ok,ok,ok,ok,ok,ok
EX_acmana_e,acmana_e <=> ,ok,ok,ok,ok,ok,ok
EX_acon_C_e,acon_C_e <=> ,ok,ok,ok,ok,ok,ok
