WP_022832611.1	iML1515.b3781	51.0	102	50	0	7	108	8	109	6.4e-25	110.5
WP_022832611.1	STM_v1_0.STM3915	51.0	102	50	0	7	108	8	109	6.4e-25	110.5
WP_022832611.1	iSbBS512_1146.SbBS512_E4140	51.0	102	50	0	7	108	8	109	6.4e-25	110.5
WP_022832611.1	iSDY_1059.SDY_3968	51.0	102	50	0	7	108	26	127	6.4e-25	110.5
WP_022832611.1	iSF_1195.SF3854	51.0	102	50	0	7	108	26	127	6.4e-25	110.5
WP_022832611.1	iSSON_1240.SSON_3952	51.0	102	50	0	7	108	26	127	6.4e-25	110.5
WP_022832611.1	iYL1228.KPN_04282	50.0	102	51	0	7	108	8	109	2.4e-24	108.6
WP_022832611.1	iPC815.YPO3868	49.5	97	49	0	7	103	8	104	1.6e-23	105.9
WP_022832611.1	iJN1463.PP_5215	44.4	99	55	0	5	103	7	105	1.0e-22	103.2
WP_022902482.1	iCN900.CD630_08680	37.3	51	32	0	6	56	2	52	5.7e-05	43.5
WP_022902482.1	iYO844.BSU33370	52.6	38	18	0	12	49	8	45	7.4e-05	43.1
WP_022905457.1	iEK1008.Rv1310	67.9	477	146	1	6	475	2	478	4.4e-182	634.8
WP_022905457.1	iYS854.USA300HOU_RS11360	63.1	461	169	1	16	475	2	462	5.5e-169	591.3
WP_022905457.1	iYO844.BSU36810	63.2	462	166	2	18	475	4	465	5.2e-167	584.7
WP_022905457.1	iCN900.CD630_34680	63.0	460	165	3	17	475	4	459	5.4e-164	574.7
WP_022905457.1	iHN637.CLJU_RS01190	62.4	460	168	2	15	474	2	456	2.0e-163	572.8
WP_022905458.1	iEK1008.Rv1311	42.0	88	50	1	1	87	1	88	2.1e-10	62.0
WP_022906624.1	iAF987.Gmet_2999	29.8	181	121	2	4	181	10	187	4.3e-15	79.0
WP_022906624.1	iAF987.Gmet_1706	38.7	119	66	3	3	117	2	117	9.6e-15	77.8
WP_027465781.1	iNF517.LLMG_RS09765	47.6	63	33	0	14	76	8	70	9.4e-10	59.7
WP_027465781.1	iYS854.USA300HOU_RS11385	45.9	61	33	0	15	75	6	66	1.6e-09	58.9
WP_027465781.1	iYO844.BSU36860	45.9	61	33	0	15	75	6	66	1.4e-08	55.8
WP_058728223.1	iJN1463.PP_1625	46.8	77	41	0	1	77	1	77	2.3e-19	92.0
WP_058740708.1	iAF692.Mbar_A0913	30.9	152	100	4	12	159	5	155	8.1e-16	80.9
WP_058740708.1	iAF692.Mbar_A3178	32.8	137	87	3	19	152	4	138	1.5e-14	76.6
WP_058741348.1	iHN637.CLJU_RS06285	39.4	66	40	0	12	77	6	71	2.6e-10	61.6
WP_058741348.1	iYS854.USA300HOU_RS06195	45.3	64	35	0	14	77	9	72	1.7e-09	58.9
WP_070416200.1	iEK1008.Rv1451	45.8	297	154	3	6	302	13	302	3.0e-67	252.7
WP_070417329.1	iEK1008.Rv3628	66.9	148	49	0	4	151	3	150	6.4e-53	204.1
WP_070419045.1	iYS854.USA300HOU_RS04515	59.3	246	93	3	2	245	3	243	5.0e-76	281.6
WP_070419047.1	iYS854.USA300HOU_RS04535	61.7	459	175	1	14	472	8	465	1.5e-171	599.7
WP_071291904.1	iEK1008.Rv2220	64.1	471	166	1	7	474	8	478	2.8e-181	632.1
WP_071291904.1	iSynCJ816.SGL_RS04340	58.2	466	194	1	7	472	7	471	4.6e-168	588.2
WP_079235703.1	iCN900.CD630_26230	33.9	230	143	6	15	237	5	232	1.1e-24	110.9
